Time ns, Temperature
1583585644907441648, 1653
1583585645907435502, 1667
1583585646907404392, 1651
1583585647907402753, 1650
1583585648907444631, 1692
1583585649907438585, 1681
1583585650907438249, 1663
1583585651907429280, 1685
1583585652907440703, 1659
1583585653907411886, 1664
1583585654907437592, 1684
1583585655907412220, 1686
1583585656907447494, 1659
1583585657907451392, 1651
1583585658907434982, 1671
1583585659907442181, 1671
1583585660907397611, 1682
1583585661907406692, 1667
1583585662907443982, 1675
1583585663907414232, 1685
1583585664907437512, 1689
1583585665907434584, 1665
1583585666907432958, 1680
1583585667907412607, 1665
1583585668907431329, 1677
1583585669907400823, 1683
1583585670907392306, 1664
1583585671907405982, 1689
1583585672907439087, 1678
1583585673907393258, 1675
1583585674907389244, 1679
1583585675907369612, 1663
1583585676907391012, 1671
1583585677907423710, 1670
1583585678907426606, 1658
1583585679908402379, 1692
1583585680908391083, 1654
1583585681908422407, 1678
1583585682908444402, 1683
1583585683908422593, 1663
1583585684908427568, 1682
1583585685908434878, 1681
1583585686908436692, 1671
1583585687908416133, 1680
1583585688908420224, 1662
1583585689908422608, 1661
1583585690908397396, 1665
1583585691908429585, 1649
1583585692908434992, 1653
1583585693908357374, 1673
1583585694908435549, 1654
1583585695908417693, 1669
1583585696908421446, 1677
1583585697908393670, 1659
1583585698908424074, 1676
1583585699908396196, 1676
1583585700908419653, 1670
1583585701908404045, 1680
1583585702908428639, 1674
1583585703908428737, 1665
1583585704908431708, 1681
1583585705908401927, 1653
1583585706908379890, 1649
1583585707908397327, 1674
1583585708908379222, 1662
1583585709908378853, 1651
1583585710908413055, 1683
1583585711908420744, 1665
1583585712908378547, 1649
1583585713908350448, 1655
1583585714908409223, 1678
1583585715908421926, 1671
1583585716908408125, 1666
1583585717908398620, 1681
1583585718908413958, 1655
1583585719908387154, 1649
1583585720908422091, 1693
1583585721908387447, 1662
1583585722908367878, 1655
1583585723908382347, 1673
1583585724908424841, 1673
1583585725908406616, 1655
1583585726908406172, 1669
1583585727908404816, 1658
1583585728908383020, 1650
1583585729908407664, 1647
1583585730908404256, 1669
1583585731908382680, 1645
1583585732908405209, 1648
1583585733908366439, 1667
1583585734908400878, 1670
1583585735908358171, 1679
1583585736908370323, 1648
1583585737908397893, 1648
1583585738908375811, 1648
1583585739909342569, 1677
1583585740909366319, 1680
1583585741909332018, 1666
1583585742909366402, 1667
1583585743909337786, 1695
1583585744909363925, 1671
1583585745909397144, 1663
1583585746909378759, 1664
1583585747909334418, 1663
1583585748909364779, 1661
1583585749909360888, 1659
1583585750909360131, 1653
1583585751909373914, 1655
1583585752909329336, 1660
